Date,Humidity,Events,Weather,Rainfall,Tourism_Demand
2007-02,97.16,Ekpo Display,Stormy,212.32,1850
2007-03,88.41,Ekpo Display,Cloudy,118.14,1547
2007-04,90.26,Ibaka,Sunny,13.35,1674
2007-05,85.68,Ekpo Display,Sunny,20.25,1708
2007-06,89.35,Ekpo Display,Rainy,32.63,1474
2007-07,82.68,Ekpo Display,Stormy,256,1370
2007-08,63.78,Ibaka,Cloudy,293.34,1429
2007-09,63.07,Ibeno Beach,Cloudy,30.92,1473
2007-10,96.6,Ekpo Display,Sunny,14.21,1743
2007-11,87.52,Ibaka,Sunny,28.28,1666
2007-12,96.39,Ekpo Display,Sunny,33.53,2250
2008-01,90.12,Ibeno Beach,Sunny,38.4,2245
2008-02,81.68,Ekpo Display,Cloudy,9.65,1963
2008-03,92.62,Ibaka,Sunny,32.05,1725
2008-04,84.65,Ibaka,Cloudy,18.77,1504
2008-05,76.6,Ibaka,Rainy,76.64,1478
2008-06,88.7,Ibeno Beach,Rainy,112.03,1521
2008-07,62.07,Ibaka,Sunny,27.42,1670
2008-08,86.3,Ekpo Display,Sunny,26.45,1705
2008-09,60.03,Ibeno Beach,Cloudy,76.98,1516
2008-10,60.86,Ibaka,Cloudy,90.9,1492
2008-11,99.31,Ibeno Beach,Cloudy,91.31,1503
2008-12,94.88,Ibeno Beach,Cloudy,249.23,1981
2009-01,70.66,Ibaka,Cloudy,64.65,2050
2009-02,81.46,Ibeno Beach,Cloudy,23.9,2011
2009-03,64.12,Ibeno Beach,Rainy,138.9,1483
2009-04,81.04,Ibeno Beach,Cloudy,43.16,1546
2009-05,64.64,Ekpo Display,Rainy,95.98,1520
2009-06,81.42,Ibeno Beach,Sunny,22.62,1749
2009-07,77.07,Ibaka,Cloudy,218.52,1463
2009-08,81.91,Ekpo Display,Stormy,148.19,1444
2009-09,84.21,Ekpo Display,Cloudy,203.28,1448
2009-10,98.99,Ibeno Beach,Cloudy,138.05,1516
2009-11,69.84,Ekpo Display,Sunny,14.79,1684
2009-12,86.78,Ekpo Display,Cloudy,238.12,1922
2010-01,67.89,Ibaka,Sunny,14.65,2173
2010-02,91.03,Ibaka,Cloudy,139.17,1972
2010-03,87.82,Ekpo Display,Sunny,25.92,1744
2010-04,99.55,Ekpo Display,Cloudy,294.29,1459
2010-05,82.69,Ibeno Beach,Cloudy,94.43,1535
2010-06,99.38,Ibaka,Sunny,37.81,1701
2010-07,74.36,Ibeno Beach,Cloudy,251.86,1481
2010-08,78.55,Ibeno Beach,Sunny,9.6,1698
2010-09,91.83,Ibeno Beach,Sunny,48.85,1716
2010-10,70.48,Ibaka,Cloudy,82.93,1519
2010-11,66.02,Ekpo Display,Cloudy,206.66,1443
2010-12,62.52,Ekpo Display,Cloudy,247.91,1936
2011-01,90.55,Ibeno Beach,Rainy,241.04,1925
2011-02,83,Ibeno Beach,Cloudy,201.41,1925
2011-03,68.63,Ibom Food Fest,Cloudy,260.75,1444
2011-04,94.49,Local Sports Event,Sunny,23.37,1683
2011-05,69.4,Ibeno Beach,Rainy,90.97,1470
2011-06,73.64,Ibom Food Fest,Sunny,13.84,1693
2011-07,63.08,Ibaka,Sunny,9.54,1720
2011-08,81.7,Local Sports Event,Sunny,36.95,1661
2011-09,91.7,Ekpo Display,Sunny,8.72,1672
2011-10,90.2,Local Sports Event,Sunny,9.45,1685
2011-11,88.26,Ibaka,Rainy,296.78,1459
2011-12,75.27,9999 Carol Night,Sunny,20.32,2161
2012-01,86,Ekpo Display,Cloudy,271.99,1950
2012-02,74.75,Ibaka,Cloudy,219.84,1941
2012-03,77.45,Ekpo Display,Cloudy,51.67,1456
2012-04,95.31,Local Sports Event,Sunny,21.51,1651
2012-05,72.67,Ekpo Display,Sunny,39.94,1704
2012-06,76.06,Ibaka,Stormy,96.66,1361
2012-07,60.07,Ekpo Display,Sunny,12.26,1650
2012-08,72.83,Ibaka,Sunny,26.44,1726
2012-09,93.31,Local Sports Event,Sunny,29.28,1717
2012-10,61.76,Ibeno Beach,Cloudy,250.49,1408
2012-11,81.04,Ibeno Beach,Sunny,40.42,1745
2012-12,89.44,Ibeno Beach,Rainy,78.18,2030
2013-01,87.17,Ibeno Beach,Sunny,12.07,2151
2013-02,92.83,Local Sports Event,Sunny,27.43,2181
2013-03,83.63,Local Sports Event,Cloudy,194.79,1467
2013-04,84.06,Local Sports Event,Stormy,208.27,1387
2013-05,93.63,Ekpo Display,Rainy,116.09,1497
2013-06,65.94,Ekpo Display,Sunny,5.95,1691
2013-07,88.49,Ekpo Display,Sunny,38.21,1655
2013-08,97.7,Ekpo Display,Sunny,27.63,1694
2013-09,75.4,Local Sports Event,Cloudy,133.26,1461
2013-10,73.07,Ekpo Display,Sunny,42.59,1705
2013-11,74.12,Ibeno Beach,Rainy,77.75,1510
2013-12,66.68,Ibom Food Fest,Sunny,10.19,2200
2014-01,65.18,Local Sports Event,Cloudy,130.95,1986
2014-02,79.48,Ibom Food Fest,Stormy,65.62,1929
2014-03,79.22,Ibom Food Fest,Stormy,109.03,1353
2014-04,92.23,Ibeno Beach,Sunny,36.93,1687
2014-05,66.46,Ibeno Beach,Cloudy,30.25,1463
2014-06,95.31,Ibaka,Sunny,7.11,1678
2014-07,67.92,Ibeno Beach,Stormy,203.11,1358
2014-08,81.71,Local Sports Event,Rainy,122.81,1524
2014-09,66.81,Ibom Food Fest,Sunny,29.92,1651
2014-10,74.26,Ibaka,Sunny,19.84,1716
2014-11,79.24,Ibeno Beach,Cloudy,260.7,1469
2014-12,92.42,Local Sports Event,Stormy,108.09,1940
2015-01,89.89,Local Sports Event,Cloudy,156.87,2018
2015-02,89.89,Ekpo Display,Sunny,47.21,2241
2015-03,97.68,Ibaka,Sunny,18.94,1748
2015-04,85.76,Ibaka,Sunny,23.46,1734
2015-05,88.54,Ibaka,Rainy,244.75,1454
2015-06,73.83,Ekpo Display,Cloudy,202.75,1488
2015-07,67.01,Ibeno Beach,Cloudy,64.42,1499
2015-08,81.02,Ekpo Display,Cloudy,71.1,1498
2015-09,93.2,Ibaka,Cloudy,254.14,1420
2015-10,83.68,Ibaka,Sunny,9.69,1684
2015-11,62.32,Ekpo Display,Sunny,2.74,1695
2015-12,80.77,Ibaka,Rainy,124.83,2000
2016-01,98.65,Ekpo Display,Rainy,48.68,2027
2016-02,64.01,Ibom Food Fest,Sunny,29.41,2215
2016-03,63.82,Ekpo Display,Sunny,14.25,1655
2016-04,64.15,Ibaka,Sunny,17.31,1701
2016-05,82.75,Local Sports Event,Cloudy,153.76,1549
2016-06,63.17,Ibeno Beach,Cloudy,99.32,1518
2016-07,73.8,Ibeno Beach,Cloudy,106.25,1498
2016-08,79.1,Ibaka,Sunny,3.68,1702
2016-09,98.34,Ekpo Display,Rainy,89.54,1468
2016-10,63.19,Ibom Food Fest,Cloudy,284.15,1469
2016-11,70.9,Ibom Food Fest,Cloudy,263.95,1433
2016-12,87.35,9999 Carol Night,Cloudy,285.87,1974
2017-01,92.88,Ibaka,Cloudy,217.96,1986
2017-02,76.96,Ekpo Display,Sunny,16.68,2245
2017-03,97.05,Local Sports Event,Cloudy,25.11,1517
2017-04,75.72,Ibom Food Fest,Sunny,47.8,1724
2017-05,74.19,Ibeno Beach,Sunny,11.86,1693
2017-06,79.09,Ibeno Beach,Sunny,25.78,1729
2017-07,70.08,Ekpo Display,Sunny,39.85,1728
2017-08,67.68,Ibaka,Cloudy,10.02,1517
2017-09,63.04,Local Sports Event,Rainy,220.1,1487
2017-10,87.78,Ekpo Display,Rainy,281.07,1418
2017-11,94.99,Ibaka,Sunny,47.74,1678
2017-12,63.92,Ibom Food Fest,Cloudy,235.55,1948
2018-01,94.38,Ekpo Display,Cloudy,113.81,1999
2018-02,91.87,Ibaka,Rainy,121.78,1960
2018-03,70.6,Local Sports Event,Cloudy,197.87,1497
2018-04,67.12,Ekpo Display,Sunny,41.1,1724
2018-05,73.5,Ibaka,Stormy,227.07,1306
2018-06,82.69,Ibom Food Fest,Sunny,48.45,1723
2018-07,83.66,Local Sports Event,Cloudy,209.7,1492
2018-08,90.87,Ibaka,Sunny,31.66,1743
2018-09,62.66,Ibom Food Fest,Sunny,4.64,1691
2018-10,66.92,Ibeno Beach,Sunny,35.67,1720
2018-11,68.62,Ekpo Display,Stormy,169.25,1385
2018-12,86.72,Ibaka,Sunny,0.74,2188
2019-01,90.55,Ibeno Beach,Rainy,282.22,1969
2019-02,99.18,Local Sports Event,Sunny,10.87,2237
2019-03,87.42,Ekpo Display,Sunny,34.62,1665
2019-04,71.64,Ibom Food Fest,Cloudy,92.94,1509
2019-05,95.16,Ibaka,Sunny,35.53,1658
2019-06,79.95,Ekpo Display,Rainy,248.63,1432
2019-07,95.92,Ibaka,Cloudy,132.8,1489
2019-08,84.6,Ibom Food Fest,Sunny,42.25,1663
2019-09,64.81,Ibaka,Cloudy,73.76,1508
2019-10,61.61,Ibom Food Fest,Sunny,0.47,1654
2019-11,89.86,Ekpo Display,Sunny,28.76,1666
2019-12,88.98,Ekpo Display,Cloudy,152.57,1975
2020-01,77.09,Ekpo Display,Cloudy,129.45,1991
2020-02,69.93,Ibeno Beach,Cloudy,139.85,1984
2020-03,62.72,Ibeno Beach,Cloudy,234.83,1443
2020-04,69.72,Local Sports Event,Sunny,24.73,1654
2020-05,67.77,Ibaka,Sunny,42.72,1698
2020-06,76.44,Ibaka,Rainy,161.65,1492
2020-07,91.06,Ibeno Beach,Cloudy,130.53,1545
2020-08,72.7,Ibaka,Sunny,26.5,1659
2020-09,84.12,Ibeno Beach,Sunny,29.48,1653
2020-10,70.39,Ibaka,Sunny,17.37,1729
2020-11,68.21,Ekpo Display,Sunny,44.14,1733
2020-12,62.75,Ibaka,Sunny,2.52,2228
2021-01,90.65,Ibom Food Fest,Sunny,38.53,2216
2021-02,97.25,Ibeno Beach,Sunny,2.73,2180
2021-03,74.33,Ibaka,Rainy,187.46,1507
2021-04,96.18,Ibeno Beach,Stormy,169.32,1372
2021-05,75.44,Ekpo Display,Sunny,28.96,1690
2021-06,61.07,Ekpo Display,Cloudy,112.39,1462
2021-07,79.96,Ekpo Display,Sunny,9.46,1660
2021-08,82.8,Ekpo Display,Sunny,45.35,1740
2021-09,68.68,Ibom Food Fest,Sunny,9.92,1737
2021-10,66.71,Ekpo Display,Stormy,41.69,1395
2021-11,99.72,Ibaka,Cloudy,148.1,1471
2021-12,76.9,Ibeno Beach,Cloudy,166.06,2004
2022-01,74.04,Ibeno Beach,Sunny,23.49,2222
2022-02,69.09,Ibom Food Fest,Sunny,33.92,2218
2022-03,85.15,Ibaka,Sunny,10.44,1675
2022-04,67.73,Ibom Food Fest,Sunny,34.22,1689
2022-05,73.12,Ibaka,Sunny,8.44,1728
2022-06,95.19,Ibom Food Fest,Cloudy,293.82,1472
2022-07,84.9,Local Sports Event,Sunny,25.91,1714
2022-08,66.68,Local Sports Event,Sunny,13.59,1738
2022-09,86.89,Ibom Food Fest,Sunny,14.85,1699
2022-10,91.41,Ibeno Beach,Sunny,13.26,1675
2022-11,83.26,Ekpo Display,Sunny,34.24,1710
2022-12,99.1,Ibom Food Fest,Rainy,94.17,1959
2023-01,67.4,Ibaka,Sunny,48.87,2224
2023-02,71.47,Local Sports Event,Cloudy,236.35,1941
2023-03,71.66,Ibaka,Sunny,12.11,1716
2023-04,95.38,Ekpo Display,Cloudy,178.62,1492
2023-05,96.82,Local Sports Event,Sunny,7.89,1686
2023-06,65.79,Local Sports Event,Sunny,48.82,1663
2023-07,73.52,Ibom Food Fest,Cloudy,296.36,1479
2023-08,89.6,Local Sports Event,Cloudy,95.58,1527
2023-09,98.8,Ekpo Display,Sunny,0.26,1650
2023-10,78.99,Local Sports Event,Cloudy,188,1493
2023-11,82.06,Ekpo Display,Cloudy,143.47,1500
2023-12,99.47,Ibaka,Sunny,40.13,2173
2004-01,84.46,Ibeno Beach,Cloudy,251.29,1999
2004-02,62.79,Ekpo Display,Rainy,27.02,2043
2004-03,95.81,Ibaka,Sunny,37.67,1682
2004-04,61.06,Ekpo Display,Cloudy,115.54,1473
2004-05,91.43,Ekpo Display,Cloudy,33.02,1550
2004-06,82.85,Ibeno Beach,Cloudy,260.22,1457
2004-07,75.46,Ekpo Display,Cloudy,163.66,1539
2004-08,74.38,Ibaka,Rainy,162.13,1467
2004-09,75.74,Ekpo Display,Sunny,0.52,1694
2004-10,83.45,Ekpo Display,Sunny,26.39,1688
2004-11,91.19,Ekpo Display,Cloudy,35.2,1548
2004-12,89.59,Ibeno Beach,Cloudy,101.83,1964
2005-01,76.27,Ibeno Beach,Cloudy,36.12,1990
2005-02,80.34,Ibeno Beach,Rainy,81.84,1970
2005-03,64.79,Ibeno Beach,Cloudy,128.34,1497
2005-04,99.38,Ekpo Display,Sunny,21.06,1732
2005-05,79.33,Ibeno Beach,Cloudy,125.37,1533
2005-06,80.69,Ekpo Display,Sunny,27.81,1718
2005-07,74.89,Ekpo Display,Cloudy,57.73,1491
2005-08,89.27,Ibeno Beach,Cloudy,131.66,1530
2005-09,70.39,Ibaka,Stormy,126.82,1430
2005-10,97.26,Ibeno Beach,Sunny,15.74,1679
2005-11,89.94,Ekpo Display,Stormy,272.87,1362
2005-12,86.36,Ibeno Beach,Sunny,34.7,2197
2006-01,73.27,Ibeno Beach,Sunny,44.81,2232
2006-02,82.08,Ibaka,Cloudy,23.86,1980
2006-03,95.12,Ibeno Beach,Sunny,9.56,1682
2006-04,73.72,Ekpo Display,Sunny,31.11,1714
2006-05,92.78,Ekpo Display,Sunny,14.37,1750
2006-06,75.81,Ibaka,Sunny,36.81,1658
2006-07,97.65,Ibeno Beach,Sunny,13.21,1697
2006-08,86.13,Ibaka,Cloudy,131.15,1536
2006-09,80.34,Ibaka,Sunny,7.39,1682
2006-10,87.17,Ibeno Beach,Rainy,258.76,1467
2006-11,79.15,Ekpo Display,Sunny,8.57,1735
2006-12,66.89,Ibeno Beach,Rainy,150.28,2014
2007-01,98.66,Ekpo Display,Sunny,13.15,2208
2007-02,97.14,Ibeno Beach,Rainy,158.02,1976
2007-03,73.4,Ekpo Display,Sunny,29.35,1737
2007-04,97.02,Ibaka,Rainy,134.49,1534
2007-05,83.01,Ekpo Display,Sunny,30.87,1720
2007-06,71.29,Ibeno Beach,Sunny,1.72,1663
2007-07,99.65,Ibaka,Sunny,22.33,1721
2007-08,76.56,Ibeno Beach,Sunny,13.02,1653
2007-09,72.29,Ekpo Display,Cloudy,231.94,1427
2007-10,63.35,Ibaka,Sunny,23.92,1730
2007-11,99.63,Ibaka,Sunny,28.04,1744
2007-12,95.22,Ibaka,Cloudy,201.65,1985
2008-01,62.73,Ibeno Beach,Cloudy,260.73,1900
2008-02,60.88,Ibaka,Cloudy,279.02,1945
2008-03,97.32,Ibeno Beach,Cloudy,137.8,1466
2008-04,82.18,Ibeno Beach,Cloudy,296.18,1494
2008-05,67.37,Ibaka,Rainy,142.15,1450
2008-06,84.9,Ibeno Beach,Sunny,46.97,1744
2008-07,96.02,Ekpo Display,Sunny,34.57,1723
2008-08,66.96,Ibaka,Cloudy,181.8,1507
2008-09,75.54,Ibeno Beach,Sunny,37.37,1709
2008-10,61.7,Ibaka,Sunny,15.87,1687
2008-11,63.77,Ibeno Beach,Cloudy,120.45,1540
2008-12,64.19,Ibaka,Cloudy,292.39,1981
2009-01,90.79,Ibaka,Sunny,35.72,2157
2009-02,75.85,Ekpo Display,Sunny,31.54,2192
2009-03,61.32,Ibeno Beach,Cloudy,155.23,1536
2009-04,93.87,Ibaka,Sunny,12.97,1660
2009-05,74.14,Ibaka,Rainy,176.56,1545
2009-06,92.74,Ibeno Beach,Rainy,49.78,1496
2009-07,64.52,Ibeno Beach,Sunny,10.94,1671
2009-08,83.56,Ibeno Beach,Cloudy,117.02,1532
2009-09,77.24,Ekpo Display,Cloudy,150.33,1464
2009-10,95.41,Ekpo Display,Sunny,32.12,1696
2009-11,69.81,Ekpo Display,Sunny,32.42,1711
2009-12,98.21,Ekpo Display,Sunny,34.97,2169
2010-01,89.51,Ekpo Display,Stormy,112.15,1885
2010-02,69.29,Ibaka,Sunny,22.95,2180
2010-03,72.41,Ekpo Display,Sunny,11.61,1697
2010-04,62.11,Ibaka,Sunny,5.69,1662
2010-05,93.04,Ibeno Beach,Sunny,8.98,1741
2010-06,69.23,Ekpo Display,Sunny,7.93,1665
2010-07,61.11,Ibaka,Sunny,8.8,1656
2010-08,79.53,Ibaka,Cloudy,250.83,1496
2010-09,98.22,Ibeno Beach,Cloudy,280.61,1492
2010-10,64.7,Ekpo Display,Sunny,11.03,1705
2010-11,71.88,Ekpo Display,Sunny,36.84,1719
2010-12,63.73,Ibeno Beach,Cloudy,279.39,1915
2011-01,81.52,Ibom Food Fest,Cloudy,298.21,1957
2011-02,77.87,Local Sports Event,Sunny,12.65,2168
2011-03,94.12,Ekpo Display,Rainy,48.35,1475
2011-04,65.1,Ibeno Beach,Sunny,38.88,1702
2011-05,72.01,Ibeno Beach,Sunny,35.28,1742
2011-06,89.2,Ekpo Display,Sunny,28.8,1656
2011-07,86.78,Ibeno Beach,Sunny,0.38,1710
2011-08,95.28,Ekpo Display,Sunny,46.02,1702
2011-09,96.15,Ibaka,Cloudy,292.6,1460
2011-10,86.52,Local Sports Event,Sunny,7.46,1659
2011-11,90.42,Ibom Food Fest,Cloudy,75.96,1500
2011-12,95.8,9999 Carol Night,Sunny,18.22,2223
2012-01,85.85,Ibom Food Fest,Rainy,43.62,1952
2012-02,71.99,Ibaka,Sunny,36.8,2179
2012-03,70.19,Ibaka,Rainy,223.92,1434
2012-04,72.99,Ibom Food Fest,Sunny,7.56,1745
2012-05,81.5,Ekpo Display,Cloudy,72.84,1516
2012-06,62.62,Ibeno Beach,Cloudy,88.12,1498
2012-07,98.29,Ibaka,Sunny,39.88,1729
2012-08,91.28,Ibaka,Sunny,16.6,1650
2012-09,65.6,Ibom Food Fest,Sunny,12.18,1665
2012-10,88.81,Ibom Food Fest,Sunny,6.1,1706
2012-11,79.51,Ekpo Display,Cloudy,118.52,1499
2012-12,98.37,Local Sports Event,Rainy,122.21,1971
2013-01,94.53,Local Sports Event,Cloudy,233.2,1909
2013-02,82.19,Ibaka,Cloudy,71.34,1962
2013-03,65.63,Ibom Food Fest,Sunny,25.87,1748
2013-04,94.29,Ibaka,Sunny,48.89,1683
2013-05,74.99,Local Sports Event,Rainy,119.24,1550
2013-06,96.16,Ibeno Beach,Stormy,227.84,1368
2013-07,90.21,Ekpo Display,Sunny,28.41,1721
2013-08,87.83,Ekpo Display,Sunny,31.86,1685
2013-09,64.94,Ekpo Display,Cloudy,277.52,1431
2013-10,92.42,Ekpo Display,Rainy,87.64,1549
2013-11,68.87,Ibeno Beach,Cloudy,120.79,1515
2013-12,86.98,Ibom Food Fest,Sunny,17.38,2233
2014-01,91.07,Ibaka,Stormy,94.52,1910
2014-02,62.31,Ekpo Display,Sunny,23.96,2216
2014-03,83.26,Ibeno Beach,Sunny,6.24,1743
2014-04,69.29,Ibom Food Fest,Sunny,37.48,1672
2014-05,95.89,Ibeno Beach,Cloudy,31.23,1517
2014-06,76.02,Ibom Food Fest,Sunny,12.57,1743
2014-07,73.96,Ibaka,Stormy,124.05,1385
2014-08,60.81,Ibaka,Cloudy,280.31,1430
2014-09,69.79,Ibeno Beach,Stormy,283.31,1396
2014-10,78.03,Ekpo Display,Sunny,6.87,1666
2014-11,66,Ekpo Display,Rainy,71.8,1534
2014-12,89.2,Ekpo Display,Cloudy,10.54,1978
2015-01,88.4,Ekpo Display,Cloudy,63.19,1968
2015-02,86.46,Local Sports Event,Rainy,177.2,1996
2015-03,86.29,Ibom Food Fest,Rainy,65.93,1534
2015-04,77.1,Ibaka,Cloudy,26.95,1496
2015-05,72.39,Ibeno Beach,Cloudy,3.2,1497
2015-06,73.64,Ibaka,Sunny,17.85,1675
2015-07,88.16,Ekpo Display,Sunny,19,1683
2015-08,82.72,Ibaka,Rainy,127.25,1451
2015-09,78.29,Ekpo Display,Cloudy,217.98,1490
2015-10,79.87,Ibaka,Stormy,137.13,1407
2015-11,95.53,Ibaka,Cloudy,15.04,1469
2015-12,83.72,Ibom Food Fest,Sunny,48.86,2211
2016-01,90.51,Local Sports Event,Sunny,32.67,2217
2016-02,69.58,Local Sports Event,Cloudy,121,1967
2016-03,72.22,Ibom Food Fest,Sunny,37.54,1656
2016-04,60.42,Ibeno Beach,Cloudy,281.3,1453
2016-05,72.3,Ibaka,Sunny,38.8,1675
2016-06,86.71,Ibom Food Fest,Cloudy,218.47,1463
2016-07,72.17,Ibeno Beach,Sunny,33.76,1660
2016-08,71.46,Ibaka,Rainy,109.42,1508
2016-09,81.47,Ibom Food Fest,Rainy,83.79,1529
2016-10,64.72,Ekpo Display,Cloudy,91.22,1518
2016-11,79.5,Ekpo Display,Rainy,119.96,1529
2016-12,96.07,Ekpo Display,Sunny,28.32,2188
2017-01,91.72,Local Sports Event,Rainy,133.02,2039
2017-02,94.16,Ibaka,Cloudy,100.51,1983
2017-03,79.5,Ibeno Beach,Cloudy,28.45,1492
2017-04,89.07,Ibeno Beach,Rainy,173.16,1533
2017-05,85.14,Ekpo Display,Cloudy,174.59,1474
2017-06,86.55,Ibeno Beach,Sunny,28.82,1691
2017-07,90.28,Local Sports Event,Sunny,23.58,1653
2017-08,73.45,Ibeno Beach,Cloudy,126.15,1474
2017-09,91.83,Local Sports Event,Sunny,2.98,1702
2017-10,63.39,Local Sports Event,Cloudy,232.98,1491
2017-11,65.69,Ekpo Display,Sunny,19.27,1684
2017-12,93.55,Ekpo Display,Cloudy,192.32,1999
2018-01,82.7,Ibaka,Cloudy,272.39,1994
2018-02,72.33,Ekpo Display,Sunny,44.68,2182
2018-03,88.16,Ibom Food Fest,Sunny,40.61,1659
2018-04,74.04,Ekpo Display,Sunny,15.93,1728
2018-05,88.4,Ibaka,Cloudy,52.64,1454
2018-06,94.3,Ekpo Display,Sunny,4.39,1701
2018-07,74.25,Ibaka,Sunny,40.58,1677
2018-08,62.08,Ekpo Display,Cloudy,298.55,1498
2018-09,95.03,Ibom Food Fest,Rainy,241.6,1466
2018-10,88.73,Local Sports Event,Sunny,46.32,1719
2018-11,70.89,Ibom Food Fest,Cloudy,283.23,1438
2018-12,75.86,Ibeno Beach,Sunny,35.07,2235
2019-01,80.97,Ekpo Display,Sunny,34.42,2195
2019-02,86.9,Ibaka,Sunny,25.37,2223
2019-03,77.69,Ibeno Beach,Sunny,20.23,1677
2019-04,80.8,Local Sports Event,Sunny,40.59,1736
2019-05,80.57,Ibaka,Sunny,23.51,1733
2019-06,76.13,Ibaka,Sunny,9.79,1721
2019-07,62.41,Local Sports Event,Rainy,2.41,1501
2019-08,96.96,Ibaka,Stormy,182.76,1443
2019-09,75.16,Ibaka,Stormy,55.07,1358
2019-10,73,Ibeno Beach,Sunny,20.01,1734
2019-11,96.78,Local Sports Event,Sunny,6.98,1661
2019-12,71,Local Sports Event,Cloudy,284.78,1989
2020-01,61.99,Ibom Food Fest,Sunny,37.87,2230
2020-02,62.61,Ibeno Beach,Rainy,168.14,1997
2020-03,88.87,Local Sports Event,Sunny,6.93,1746
2020-04,64.79,Ibeno Beach,Sunny,17.37,1719
2020-05,91.33,Local Sports Event,Sunny,0.83,1736
2020-06,61.1,Ibaka,Cloudy,155.69,1464
2020-07,91.75,Local Sports Event,Sunny,3.4,1697
2020-08,87.51,Ibom Food Fest,Cloudy,45.58,1508
2020-09,79.58,Ibom Food Fest,Sunny,32.47,1723
2020-10,91.65,Ibom Food Fest,Sunny,10.69,1662
2020-11,86.52,Ibeno Beach,Sunny,15.97,1691
2020-12,61.77,Ibeno Beach,Rainy,100.44,1977
2021-01,95.93,Local Sports Event,Sunny,45.9,2181
2021-02,82.15,Ibom Food Fest,Cloudy,95.69,2045
2021-03,91.63,Ibaka,Sunny,19.83,1750
2021-04,81.79,Ekpo Display,Cloudy,263.01,1498
2021-05,77.58,Local Sports Event,Rainy,148.84,1506
2021-06,82.62,Local Sports Event,Sunny,30.09,1735
2021-07,75.04,Ibeno Beach,Rainy,202.04,1433
2021-08,98.14,Ekpo Display,Cloudy,169.77,1511
2021-09,75.23,Ibeno Beach,Cloudy,232.82,1445
2021-10,73.03,Ibaka,Sunny,0.79,1712
2021-11,60.3,Ibom Food Fest,Rainy,114.14,1457
2021-12,73.84,Ibeno Beach,Rainy,46.34,1984
2022-01,62.39,Ibom Food Fest,Sunny,2.97,2243
2022-02,97.69,Ibom Food Fest,Cloudy,213.32,1993
2022-03,92.08,Ibom Food Fest,Sunny,23.78,1690
2022-04,75.13,Ibaka,Sunny,38.98,1749
2022-05,69.58,Ibaka,Rainy,29.43,1539
2022-06,65.04,Ibaka,Cloudy,35.73,1486
2022-07,86.12,Ibaka,Cloudy,188.26,1511
2022-08,63.34,Ibaka,Sunny,36.55,1733
2022-09,76.82,Local Sports Event,Sunny,42.91,1660
2022-10,83.86,Local Sports Event,Sunny,5.11,1710
2022-11,67.05,Ibaka,Sunny,44.9,1668
2022-12,73.56,Ekpo Display,Sunny,14.2,2228
2023-01,76.78,Ibeno Beach,Sunny,48.25,2219
2023-02,79.82,Ibeno Beach,Cloudy,169.43,2003
2023-03,70.29,Ekpo Display,Sunny,39.36,1670
2023-04,80.36,Ekpo Display,Sunny,17.56,1673
2023-05,67.82,Ibaka,Sunny,9.06,1673
2023-06,70.34,Ibaka,Sunny,16.15,1703
2023-07,98.19,Ibom Food Fest,Rainy,108.64,1466
2023-08,72.34,Ekpo Display,Sunny,18.96,1726
2023-09,78.63,Local Sports Event,Sunny,49.94,1656
